hidden_layer_sizes,learning_rate_init,alpha,batch_size,activation,threshold,accuracy,precision,recall,f1,accuracy_ci,p_value,ci_low,ci_high,n_test,n_correct,final_equity,sharpe
"(32, 16)",0.001,0.0001,32,relu,0.55,0.5539099526066351,0.5522388059701493,0.9967672413793104,0.7107184018440261,0.5539099526066351,1.0361368193533987e-05,0.5301008267292179,0.5774742649267485,1688,935,367.943877491904,1.1070721791303855
"(32, 16)",0.001,0.001,32,relu,0.6,0.5545023696682464,0.5526315789473685,0.9956896551724138,0.7107692307692308,0.5545023696682464,8.260811929711688e-06,0.5306949701489224,0.578062265371395,1688,936,365.8278752444632,1.104863240734858
"(32, 16)",0.0005,0.0001,32,relu,0.6,0.5556872037914692,0.5535499398315282,0.9913793103448276,0.7104247104247104,0.5556872037914692,5.214716501283047e-06,0.5318833589210354,0.5792381643279847,1688,938,343.71924867452753,1.055299772338173
"(32, 16)",0.0005,0.001,32,relu,0.6,0.5550947867298578,0.5532170775706554,0.9913793103448276,0.7101505210343497,0.5550947867298578,6.570941345675014e-06,0.5312891475417392,0.5786502318429296,1688,937,342.7301476952034,1.0530373607986514
"(32, 16)",0.001,0.0001,32,relu,0.5,0.5521327014218009,0.5511904761904762,0.9978448275862069,0.7101226993865031,0.5521327014218009,2.016533829078059e-05,0.5283186001773974,0.5757100598855152,1688,932,340.3561344415433,1.0428541052077536
"(32, 16)",0.001,0.001,32,relu,0.55,0.5521327014218009,0.5513126491646778,0.9956896551724138,0.7096774193548387,0.5521327014218009,2.016533829078059e-05,0.5283186001773974,0.5757100598855152,1688,932,330.8228466412297,1.02154448405197
"(32, 16)",0.001,0.001,32,relu,0.5,0.5509478672985783,0.5505350772889417,0.9978448275862069,0.7095785440613027,0.5509478672985783,3.1075089160330475e-05,0.5271306187702188,0.5745337535639913,1688,930,323.5483639280323,1.0016036086742963
"(32, 16)",0.0005,0.001,32,relu,0.55,0.5515402843601895,0.5511057979677226,0.9935344827586207,0.708958093041138,0.5515402843601895,2.5061484625368694e-05,0.527724592519525,0.5751219236790363,1688,931,321.40857015046385,0.9960600053227275
"(32, 16)",0.0005,0.001,32,relu,0.5,0.5509478672985783,0.5505952380952381,0.9967672413793104,0.7093558282208589,0.5509478672985783,3.1075089160330475e-05,0.5271306187702188,0.5745337535639913,1688,930,318.75158538386165,0.986992410724267
"(32, 16)",0.0005,0.0001,32,relu,0.5,0.5509478672985783,0.5505952380952381,0.9967672413793104,0.7093558282208589,0.5509478672985783,3.1075089160330475e-05,0.5271306187702188,0.5745337535639913,1688,930,318.75158538386165,0.986992410724267
"(32, 16)",0.0005,0.0001,32,relu,0.55,0.5509478672985783,0.5508373205741627,0.9924568965517241,0.7084615384615385,0.5509478672985783,3.1075089160330475e-05,0.5271306187702188,0.5745337535639913,1688,930,316.66793870144085,0.9849284803098175
"(32, 16)",0.001,0.0001,32,relu,0.6,0.5456161137440758,0.5488174651303821,0.9752155172413793,0.7023670935195965,0.5456161137440758,0.0001942845705749317,0.5217863789070638,0.5692386986479847,1688,921,310.0844941139515,0.9827623724247461
"(32, 16)",0.001,0.001,32,relu,0.65,0.5438388625592417,0.5483476132190942,0.9655172413793104,0.6994535519125683,0.5438388625592417,0.0003435754152966726,0.5200055742649183,0.5674730716970764,1688,918,302.55407502303655,0.968940877138908
"(32, 16)",0.001,0.0001,32,relu,0.65,0.5313981042654028,0.5467576791808874,0.8631465517241379,0.6694525699958211,0.5313981042654028,0.010577398271866916,0.5075484340932158,0.5551051907174019,1688,897,250.11505329864212,0.9015136517922654
"(32, 16)",0.0005,0.001,32,relu,0.65,0.5313981042654028,0.544336569579288,0.90625,0.680145572179539,0.5313981042654028,0.010577398271866916,0.5075484340932158,0.5551051907174019,1688,897,262.81169190422895,0.871551781105703
"(32, 16)",0.0005,0.0001,32,relu,0.65,0.5308056872037915,0.5440414507772021,0.9051724137931034,0.6796116504854369,0.5308056872037915,0.012154190487802754,0.5069556068040441,0.5545158741422226,1688,896,260.38091717674763,0.8641685513267928
